B_sim (T),M_sim (emu/mol)
-9.00003984375,-24296.9688043494
-8.63268502869898,-24142.662692069593
-8.265330213647959,-23981.718464225218
-7.897975398596939,-23813.584534786103
-7.530620583545919,-23637.635399251823
-7.163265768494898,-23453.15324990133
-6.795910953443877,-23259.3033058851
-6.4285561383928576,-23055.100677501297
-6.061201323341837,-22839.362349832012
-5.693846508290816,-22610.63830045214
-5.326491693239796,-22367.107961365364
-4.959136878188776,-22106.42268653816
-4.591782063137755,-21825.458622180115
-4.2244272480867355,-21519.921160879894
-3.8570724330357145,-21183.693612881307
-3.4897176179846947,-20807.72826239086
-3.1223628029336736,-20378.08688948681
-2.755007987882653,-19872.33930121614
-2.3876531728316333,-19252.692320229402
-2.0202983577806126,-18452.550756237746
-1.6529435427295918,-17350.292459778895
-1.2855887276785725,-15721.468031430293
-0.9182339126275517,-13172.685177284324
-0.5508790975765311,-9148.7692948707
-0.18352428252551034,-3347.5871296410764
0.18383053252551035,3353.1797235960926
0.5511853475765296,9152.945160558644
0.9185401626275503,13175.379162058236
1.285894977678571,15723.1630859114
1.6532497927295917,17351.40630268313
2.020604607780611,18453.33458058111
2.387959422831632,19253.28321802473
2.7553142378826525,19872.81149844553
3.122669052933673,20378.48169993725
3.4900238679846938,20808.069721550157
3.857378683035713,21183.996450751456
4.224733498086734,21520.19464293482
4.592088313137754,21825.708930843863
4.959443128188775,22106.65410702689
5.326797943239796,22367.323558784174
5.694152758290817,22610.84033498393
6.061507573341837,22839.552622333045
6.428862388392855,23055.280513349077
6.7962172034438755,23259.473844517688
7.1635720184948966,23453.31538153328
7.530926833545917,23637.789926347392
7.898281648596938,23813.732071978564
8.265636463647958,23981.859554279898
8.632991278698979,24142.79788560814
9.00034609375,24297.09852498828
